Ticker,Share of portfolio
-,0
---,1.9875593388819112e-4
00088K,5.64026813708602e-7
00680K,9.503731719463441e-7
0R22,1.9162930840464543e-5
0RA8,1.853502351470196e-6
1,5.1859010666722537e-5
10,4.049288471702296e-6
100,4.439867430821691e-6
100120,2.579781773222658e-7
10060,1.9692672686897654e-6
101,8.548350737913714e-6
1010,2.086313871954434e-5
101060,1.46456305992095e-7
10120,1.1246116618220316e-6
10130,6.814264354035758e-6
10140,5.290345193300043e-6
1019,3.981291492907517e-7
1020,3.752848283106071e-6
102940,1.6077984730927313e-7
1030,5.222062150505333e-6
103140,6.491437104990388e-7
1033,7.743392190818135e-7
1038,7.761247390846106e-6
1040,1.534095207554224e-6
1044,1.667307793029075e-5
104700,1.554790369468653e-7
1051,2.616852892120061e-7
1052,2.1455052421147897e-6
1053,3.675691343704156e-8
1055,4.2889120497449796e-6
105560,2.5226608345158084e-5
105630,4.7279815379311683e-7
1060,8.200205006477485e-6
10620,1.3701984809311495e-6
1065,5.008673826535886e-7
1066,8.541089086025175e-6
107,9.518927227318426e-7
1070,1.157883861786188e-6
1071,2.2302508347606858e-6
1072,1.000901940647898e-6
10780,6.725742513406703e-7
108230,2.3010326275320637e-7
1083,1.4648148078655262e-6
108320,4.329937714974573e-7
1086,2.3236969943070786e-7
108670,5.806767316900856e-7
1088,2.6840276664962594e-5
1089,1.25760110975199e-6
109,9.06750965079436e-10
1090,1.8385618009448996e-5
1093,3.162698697267764e-5
10950,6.2810399943693476e-6
1098,7.972571808321821e-7
1099,1.3456415636525898e-5
11,2.914583366555604e-5
1101,2.2508744349208157e-005
1102,1.1845356691670426e-5
1104,1.3026020070314238e-8
11070,2.5043518834760416e-6
1109,4.056440235950134e-5
1111,6.947220764646992e-8
1112,2.283559955801134e-6
1113,3.3869656505282446e-5
1114,1.0696468504202975e-5
1115,2.390851257029413e-9
1117,6.767362570091027e-7
11170,5.378499284480647e-6
111770,1.6521745134407377e-6
1120,5.5055504310472675e-5
11200,1.552044060308563e-6
112040,3.9905151991121583e-7
11210,1.2063497062975183e-6
1122,6.026749308285812e-7
1128,5.250503084071511e-6
1129,1.6810084991018527e-7
1130,2.5727970018192193e-7
1131,5.17960113144569e-7
1133,6.779052983853261e-7
1137,2.7088572459824197e-7
1138,2.3982930761736865e-6
1140,5.360945725998834e-6
114090,5.819947062234552e-7
1141,1.2107752147844283e-6
114570,2.3207951937694566e-8
1150,1.0596157454132245e-5
115160,9.942845011025416e-8
115390,2.9031368467400585e-7
115450,6.24269673739907e-7
1157,3.688435458988725e-6
116,4.625649876930661e-7
1169,1.1499522758337699e-5
11690,3.375608503899173e-7
1171,7.2989053481713235e-6
1176,8.534344103141019e-7
11760,2.107874257115815e-7
1177,2.9242998124097912e-005
11780,1.929901506062247e-6
11790,1.1827298256152182e-6
1180,4.0558488115564834e-5
1186,8.729019005101987e-6
1188,1.446228282231249e-7
119,2.4483589156083766e-6
1193,1.4313102714148158e-5
1199,5.233758612831334e-6
12,1.1244934742715804e-5
120,1.6245213768228524e-6
1200,1.818695553721348e-7
1201,1.0536395766980072e-6
120110,1.191130591059859e-6
1205,6.354231064866727e-7
1207,3.484786156967785e-8
1208,1.0041890550396442e-6
1210,2.913004578432665e-6
1211,2.440319060364541e-5
1212,1.2629060064198867e-6
1215,1.7165160712643932e-6
1216,4.192076629557103e-5
1217,3.852924690616897e-7
121800,3.2867562881663825e-7
1227,3.3903614022975535e-6
122870,3.7727638046984414e-7
1229,3.286378039735984e-6
122900,3.8141541285272995e-7
123,4.9415645944057274e-6
1230,5.955746391161078e-7
1233,4.227470530435069e-6
12330,2.540188344421732e-5
1234,1.1385789319555911e-6
1236,5.015500360745307e-7
1238,3.5201552378771927e-6
123890,2.754760698229452e-7
12450,2.342819965626458e-6
1250,8.695930441303664e-7
12510,1.8373062144476335e-6
1257,8.376011475142348e-7
12630,7.08601709291371e-7
1269,3.450618863107406e-6
127,6.008239716074958e-7
12750,2.891935120970889e-6
1282,2.2073111693418532e-7
1288,4.779812817595514e-5
128940,2.9600882963195162e-6
1293,4.6765576186829503e-7
1297,6.18997710151195e-7
1299,2.121295648743371e-4
1301,5.423215878644213e-5
1302,1.5388355477752703e-6
1303,4.6183149136065566e-5
1304,1.196579444195932e-6
1305,9.448227859736181e-7
1308,2.7674152534237237e-6
1310,4.037670001488144e-6
1312,1.9327576487622497e-6
1313,8.974220271628546e-6
1314,3.358684865281931e-6
1316,1.2118465556755907e-6
1317,1.7125083763412645e-6
1319,2.711443699480436e-6
1326,3.478914065263583e-5
1332,2.7294494521548096e-6
1333,3.7387417607570926e-6
1336,1.3416108216157999e-5
1337,1.3003652230112258e-6
1339,1.1863520111518493e-5
1347,2.801984233356839e-6
1349,4.510726857325631e-7
135,8.963883693294156e-6
1357,1.5318035709689588e-6
1358,1.825241716389958e-7
1359,6.238703496929138e-6
136,1.0749880867969778e-6
1360,7.784748096731115e-7
1361,4.960322859214543e-7
1363,4.031859978230795e-7
1368,2.0918161044128816e-6
1371,1.3667163202860025e-8
1375,9.102504469120565e-7
1377,2.067367871798235e-6
1378,5.953715403660915e-6
1379,7.036690009655704e-7
138040,5.697323952760148e-7
1381,5.896515106554127e-7
1382,6.391806269277631e-7
138250,2.2366958664020545e-7
1383,9.028520452319233e-7
1385,6.666115869776991e-7
138930,3.2541027462964246e-6
139130,1.8168434081291086e-6
139480,3.5396385088458466e-6
1398,1.9374845387743153e-4
13990,1.4279185726943272e-7
14,4.589368908094596e-6
1402,1.3298077377105795e-5
140410,9.216858942620134e-7
1409,1.4588147177155637e-6
141080,5.208897681466475e-7
1414,2.9941331510596395e-6
1417,1.992128732244918e-6
142,1.6468084742691607e-6
1430,2.5828210831417715e-7
1434,4.310950513255645e-6
1435,9.168561416782524e-8
144,7.002976028763237e-6
1440,1.4209845552351846e-6
1444,1.0635243898903997e-6
1447,3.851667006495822e-7
1448,3.2662861965926277e-6
1450,2.451657935900447e-6
145020,1.2623745541986197e-6
1451,1.4266851641309565e-7
145720,6.791278074272791e-7
1458,1.4487642990186711e-6
145990,2.440403674495784e-7
14620,2.8722183911939935e-7
14680,9.87488716951614e-7
1476,9.760981154974832e-6
1477,3.5794632827468893e-6
1478,1.3900546448195152e-6
148,6.832992198381233e-6
150,1.0713885463326186e-6
1504,5.283419824207171e-6
1507,5.030369399052347e-7
1508,3.7402566333426483e-6
151,8.276451625582796e-6
1510,3.4661707721966624e-7
1513,1.7776493223933826e-6
1515,2.4182044094528587e-6
1518,2.712718086308904e-7
152,6.2729056221739644e-6
1520,5.007259565858267e-7
1522,6.743777342825487e-7
1527,4.868451432738375e-7
1528,2.0497445891368482e-6
1530,7.292200410950724e-6
1532,6.520259968830185e-7
1536,2.822833632659503e-6
1537,4.3336561959210897e-7
1548,5.87500898907899e-6
1558,3.290894648300144e-6
1560,9.171875238385851e-7
1565,2.5034064773037453e-6
157,5.744813236865634e-7
15750,2.46650577580808e-7
15760,8.814530468371536e-6
1579,1.0116912435516431e-5
158,2.38811897477633e-7
1582,9.908106420027916e-7
1585,5.671969757713795e-7
1589,2.25995491427498e-6
1590,6.4047764094082745e-6
1599,2.282980336535385e-7
16,3.8108097268224164e-5
1600,1.4423227871786559e-6
1604,7.190080006029196e-7
1605,2.0929256366807393e-5
1609,5.847853649193142e-7
1610,9.539907264440362e-7
16100,1.0101086576187624e-7
1611,3.163857706370982e-7
161390,3.7257355962284424e-6
1618,2.782170598456375e-6
161890,9.54462136810841e-7
1619,2.0656026719052735e-6
1622,1.285125412027585e-6
1628,2.9343305628458853e-6
1630,4.4053563219001436e-7
1636,9.535758920282071e-7
16360,3.446429008660572e-6
1638,3.274031043948352e-6
164,4.004907847708241e-8
165,3.6031223442046135e-6
1658,2.0737719664137096e-5
166,3.296240952956119e-6
16610,1.8088195594250167e-7
1662,1.452121634189413e-6
1663,3.4104583174032566e-7
1666,2.0695709468783383e-6
1668,1.0866100892173037e-6
1672,2.8414275433908053e-8
168,6.80466573140752e-6
1680,9.668612519634574e-7
1681,8.95862165138858e-7
1686,8.202015026043866e-7
1696,1.4629640324592906e-7
17,1.3857344671461068e-5
1701,4.3922146360260857e-7
1702,1.2024400853432116e-6
1707,2.385197309906011e-6
170900,5.920438213052024e-7
1710,2.108165372273369e-6
1711,8.731162282386924e-7
1714,8.513261729847769e-7
1717,6.155232274097465e-6
1718,1.3644710972282668e-6
1719,2.686277147777088e-6
1720,9.507846423263448e-7
1721,6.055619807526311e-6
1722,4.501751338707466e-6
1723,2.161019182462025e-6
1726,5.556064675968718e-8
1728,1.0866223949160007e-6
1729,2.9878528436163075e-7
173,1.2079331797136137e-6
1736,8.17670921332895e-7
1737,5.981873136562664e-7
1740,1.2771159124826368e-6
175,3.003549721731801e-5
175330,1.2405137358349341e-6
1762,5.929006105283399e-7
1766,1.2623382600516133e-5
17670,4.799452567843469e-6
177,5.717263906050315e-6
1773,6.791742453492768e-7
1777,6.739253434270573e-7
1778,5.563151924133585e-7
178,4.5105615763856596e-7
17800,2.202079113670191e-6
1788,9.935095123319834e-7
1789,7.383727903576866e-7
178920,6.050716011429438e-7
179,1.1240087360724161e-6
17940,1.8438738740605489e-7
1795,9.53160209697643e-7
1800,1.4350991575524594e-5
1801,2.620102253846142e-5
1802,1.4954902018761184e-5
1803,9.586838158578845e-6
180640,1.214011799551841e-6
1808,6.762324251449285e-6
1810,3.889983635957044e-5
1811,2.110779583535014e-7
1812,1.136614353039149e-5
1813,4.241528150928599e-6
1815,6.35944220228512e-7
1816,1.0100981769982807e-5
181710,9.562973581715121e-7
1818,4.232953657774862e-6
182,8.861116717763119e-7
1820,2.633689246094035e-6
1821,1.4286893304069934e-6
1822,7.50001905588644e-7
1824,2.123572892247905e-6
182400,3.9217569824849704e-7
18250,2.648733913336565e-7
18260,9.357700634789498e-6
1828,9.686754014718646e-7
1829,1.3532128429185801e-6
1830,1.2154732802615798e-6
1833,5.158547868529973e-6
183490,4.3726185114605027e-7
1835,1.4747140729802637e-6
1836,1.2446982520901592e-6
185750,8.344788548729102e-7
1860,2.5384376384424545e-6
1861,1.9037105525342184e-6
1866,1.473589316757297e-7
18670,4.1931476133249953e-7
1870,2.9092718806835137e-7
1872,4.03418554671338e-7
1876,1.7881504890342554e-6
1877,1.0992492932062006e-6
1878,1.5387441529307318e-5
1879,3.0209330243359637e-7
1881,1.7994026349099718e-6
1882,4.284488046777793e-6
1883,3.462069819334805e-6
1884,5.998377825304932e-7
1885,4.077907699872196e-7
1886,5.786542069718628e-7
1887,3.408032510878489e-7
1888,3.400179055575023e-6
18880,3.0011045241130868e-6
189,1.8127032522734457e-6
1890,5.247784629375877e-7
1893,2.975852160260775e-6
1896,8.810302524990713e-7
1898,3.509709368252678e-6
1899,1.239590268787866e-6
19,8.686481027150593e-6
1904,2.053843012516472e-6
1905,2.8832272904396813e-7
1907,2.134066990890263e-6
1909,1.3272407272481334e-6
1910,5.0521775342046115e-6
1911,3.3209767318090253e-6
1913,2.7649466175163746e-6
1916,1.967250522210191e-6
1918,3.224969787526789e-5
1919,4.30540314599723e-6
192080,8.561291781064669e-7
192400,2.1811068174638333e-7
1925,3.916823251653513e-5
1926,1.0710824329009172e-6
1928,4.137990308585841e-5
192820,7.415563614479792e-7
1929,1.635878241381397e-6
1934,4.23592008273192e-7
1941,1.0016772170044045e-6
1942,1.683427927736589e-6
1944,3.5950286980631417e-6
1945,2.698960096396629e-7
1946,4.263037637938305e-7
1949,5.115264370315681e-7
1950,1.3110588692451932e-6
1951,4.657420538053815e-6
1952,4.005919775720752e-7
1954,7.547117781987973e-7
1958,5.005489361998477e-6
1959,2.4517922719885184e-6
196,2.6725759245581974e-7
1961,8.551852996083848e-7
1963,6.2408167350298925e-6
1964,1.5777156514803438e-8
1965,4.6259040257071e-7
1966,2.6721974891967887e-6
1968,6.232982933655269e-7
19680,2.458209376458109e-7
