Organisation,Year,Account_Number,Country,Industry,Ticker,ISIN,Scope_1,Scope_2,Bio_CO2,Publication_data,Total
Arkhangelsk Pulp and Paper Mill,1990,52914,Russia,Materials,ACBK RU,RU0005418796,3008936,160810,1274993,2015,4444739
FirstEnergy Corporation,2005,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,86403130,NA,NA,2016,86403130
TRW Automotive Holdings Corp,2006,34458,USA,Consumer Discretionary,TRW US,US87264S1069,163402,606475,NA,2014,769877
FirstEnergy Corporation,2006,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,88011560,NA,NA,2016,88011560
Sears Canada Inc.,2007,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,170179,95687,NA,2013,265866
AWE,2007,21454,Australia,Energy,AWE AU,AU000000AWE9,318083,126,NA,2013,318209
TRW Automotive Holdings Corp,2007,34458,USA,Consumer Discretionary,TRW US,US87264S1069,120502,684015,NA,2014,804517
FirstEnergy Corporation,2007,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,86710669,NA,NA,2016,86710669
Hannover Rückversicherung AG,2007,8082,Germany,Financials,HNR1 GR,DE0008402215,NA,4033,NA,2014,4033
Progressive Waste Solutions Ltd.,2007,8806,Canada,Industrials,BIN CN,CA74339G1019,1477552,15711,13939,2013,1507202
Northrop Grumman Corp,2008,13488,USA,Industrials,NOC US,US6668071029,209581,641300,NA,2015,850881
Sears Canada Inc.,2008,16576,Canada,Consumer Discretionary,SCC CN,CA81234D1096,161903,83438,NA,2013,245341
AWE,2008,21454,Australia,Energy,AWE AU,AU000000AWE9,294757,132,NA,2013,294889
Cia Energética de São Paulo S.A. - CESP,2008,3299,Brazil,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",CESP3 BZ,BRCESPACNOR3,4078,690,NA,2016,4768
TRW Automotive Holdings Corp,2008,34458,USA,Consumer Discretionary,TRW US,US87264S1069,106844,641055,NA,2014,747899
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,2008,3690,Brazil,Utilities,SBSP3 BZ,BRSBSPACNOR5,1690432,102143,NA,2013,1792575
FirstEnergy Corporation,2008,6383,USA,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)",FE US,US3379321074,85919193,NA,NA,2016,85919193
Hannover Rückversicherung AG,2008,8082,Germany,Financials,HNR1 GR,DE0008402215,0,4338,NA,2014,4338
Progressive Waste Solutions Ltd.,2008,8806,Canada,Industrials,BIN CN,CA74339G1019,1629085,16606,16020,2013,1661711
Ingersoll-Rand Co. Ltd.,2008,9103,Bermuda,Industrials,IR US,IE00B6330302,817756,399227,NA,2013,1216983
"LAWSON, Inc.",2009,10511,Japan,Consumer Discretionary,2651 JP,JP3982100004,5552,21753,NA,2013,27305
Munich Re,2009,12611,Germany,Financials,MUV2 GR,DE0008430026,74193,116735,NA,2013,190928
Northrop Grumman Corp,2009,13488,USA,Industrials,NOC US,US6668071029,203187,585489,NA,2015,788676
Rentokil Initial,2009,15675,United Kingdom,Industrials,RTO LN,GB00B082RF11,208290,30426,NA,2014,238716
Royal Bank of Canada,2009,15980,Canada,Financials,RY CN,CA7800871021,33482,178080,NA,2013,211562
